Name,Pos,GP,G,A,P,PIM,TOI,SH,G/GP,A/GP,P/GP,HITS,BS,G/A,Label
James van Riemsdyk,F,61,12,17,29,28,15.21,0.0,0.197,0.279,0.475,18,20,0.7058823529411765,Playmaker
Anthony Cirelli,F,58,11,18,29,33,16.33,2.2,0.19,0.31,0.5,34,46,0.6111111111111112,Two-way
Michael Rasmussen,F,56,10,19,29,43,15.05,1.41,0.179,0.339,0.518,119,48,0.5263157894736842,Two-way
Trevor Moore,F,59,10,19,29,14,16.59,1.13,0.169,0.322,0.492,60,23,0.5263157894736842,Playmaker
Jesper Fast,F,80,10,19,29,16,14.43,1.26,0.125,0.238,0.363,104,40,0.5263157894736842,Grinder
John Carlson,D,40,9,20,29,12,23.23,1.35,0.225,0.5,0.725,42,87,0.45,All-around
Nick Jensen,D,77,5,24,29,18,20.37,2.29,0.065,0.312,0.377,107,128,0.20833333333333334,Offensive
Calen Addison,D,62,3,26,29,22,16.07,0.04,0.048,0.419,0.468,19,38,0.11538461538461539,Offensive
Jonathan Drouin,F,59,2,27,29,18,14.39,0.0,0.034,0.458,0.492,29,23,0.07407407407407407,Playmaker
Evander Kane,F,41,16,12,28,53,18.42,0.49,0.39,0.293,0.683,124,15,1.3333333333333333,Sniper
Jonatan Berggren,F,67,15,13,28,16,13.27,0.0,0.224,0.194,0.418,20,28,1.1538461538461537,Grinder
Ilya Mikheyev,F,46,13,15,28,2,16.54,1.24,0.283,0.326,0.609,13,14,0.8666666666666667,Playmaker
Arthur Kaliyev,F,56,13,15,28,12,11.4,0.0,0.232,0.268,0.5,40,10,0.8666666666666667,Playmaker
